,,,"Color Key:
Colors and/or fonts used to highlight entries below.",                   ,All Fixed...  Error or inconsistency with updated operations concepts,,,,,,,,,,,,,,,,,
,,,,,Update needed post-CV3 and/or prior to implementation,,,,,,,,,,,,,,,,,
,,,,,"New SIAF and/or OSS entries. Needed in Jan 2017 SIAF delivery, or OSS Build 6, unless otherwise noted.",,,,,,,,,,,,,,,,,
,,,,,"Non-default entries, retained for flexibility in switching modules should that become necessary.",,,,,,,,,,,,,,,,,
,,,,,Check/revise data vs. SIAF delivered 2016 Oct. -- WORK NOT COMPLETE YET.,,,,,,,,,,,,,,,,,
,,,,10pt Italics,Duplicate entries for OSS subarrays associated with multiple SIAF entries,,,,,,,,,,,,,,,,,
,Order in this spreadsheet,"Order in Colin's 
SIAF Spreadsheet",,,,,,,,,,,,,,,,,,,,
,,,"SIAF position data as of 2016-06-28, entries/names as  2016-09-29 version",,,,,,,,"OSS Data (Requirements Doc version 31, Sep 30, 2016)",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reference Position, 
Raw Pixels",,"Subarray Size, 
Pixels",,"Reference Position, 
Science Frame Pixels",,"Subarray
Name",Corner Position,,Size,,,,,,,,
,,,AperName,AperType,XDetRef,YDetRef,XSciSize,YSciSize,XSciRef,YSciRef,,ColCorner,RowCorner,Ncols,Nrows,SCA,OPGS Name,,,,,
,,,Full-frame for all templates but Coronagraphic Imaging,,,,,,,,,,,,,,,,,,,
,1,1,NRCA1_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,A1,FULL,,,,,
,2,2,NRCA2_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,A2,FULL,,,,,
,3,3,NRCA3_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,A3,FULL,,,,,
,4,4,NRCA4_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,A4,FULL,,,,,
,5,5,NRCA5_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,A5,FULL,,,,,
,6,6,NRCB1_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,B1,FULL,,,,,
,7,7,NRCB2_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,B2,FULL,,,,,
,8,8,NRCB3_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,B3,FULL,,,,,
,9,9,NRCB4_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,B4,FULL,,,,,
,10,10,NRCB5_FULL,FULL,1024.5,1024.5,2048,2048,1024.5,1024.5,"""FULL""",1,1,2048,2048,B5,FULL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Extended-source subarrays for Imaging,,,,,,,,,,,,,,,,,,,
,11,16,NRCB1_SUB160,SUB,80.5,1968.5,160,160,80.5,80.5,SUB160B1,1,1888,160,160,B1,SUB160,,,,,
,12,17,NRCB2_SUB160,SUB,1968.5,1968.5,160,160,80.5,80.5,SUB160B2,1888,1888,160,160,B2,SUB160,,,,,
,13,18,NRCB3_SUB160,SUB,1968.5,1968.5,160,160,80.5,80.5,SUB160B3,1888,1888,160,160,B3,SUB160,,,,,
,14,19,NRCB4_SUB160,SUB,80.5,1968.5,160,160,80.5,80.5,SUB160B4,1,1888,160,160,B4,SUB160,,,,,
,15,20,NRCB5_SUB160,SUB,984.5,1028.5,160,160,80.5,80.5,SUB160BLONG,945,945,160,160,B5,SUB160,,,,,
,16,26,NRCB1_SUB320,SUB,160.5,1888.5,320,320,160.5,160.5,SUB320B1,1,1728,320,320,B1,SUB320,,,,,
,17,27,NRCB2_SUB320,SUB,1888.5,1888.5,320,320,160.5,160.5,SUB320B2,1728,1728,320,320,B2,SUB320,,,,,
,18,28,NRCB3_SUB320,SUB,1888.5,1888.5,320,320,160.5,160.5,SUB320B3,1728,1728,320,320,B3,SUB320,,,,,
,19,29,NRCB4_SUB320,SUB,160.5,1888.5,320,320,160.5,160.5,SUB320B4,1,1728,320,320,B4,SUB320,,,,,
,20,30,NRCB5_SUB320,SUB,984.5,1028.5,320,320,160.5,160.5,SUB320BLONG,865,865,320,320,B5,SUB320,,,,,
,21,36,NRCB1_SUB640,SUB,320.5,1728.5,640,640,320.5,320.5,SUB640B1,1,1408,640,640,B1,SUB640,,,,,
,22,37,NRCB2_SUB640,SUB,1728.5,1728.5,640,640,320.5,320.5,SUB640B2,1408,1408,640,640,B2,SUB640,,,,,
,23,38,NRCB3_SUB640,SUB,1728.5,1728.5,640,640,320.5,320.5,SUB640B3,1408,1408,640,640,B3,SUB640,,,,,
,24,39,NRCB4_SUB640,SUB,320.5,1728.5,640,640,320.5,320.5,SUB640B4,1,1408,640,640,B4,SUB640,,,,,
,25,40,NRCB5_SUB640,SUB,984.5,1028.5,640,640,320.5,320.5,SUB640BLONG,705,705,640,640,B5,SUB640,,,,,
Engnineering Template,26,11,NRCA1_SUB160,SUB,80.5,1968.5,160,160,80.5,80.5,Defer Implementation - just add the point-source subarrays (and not these) on module A?,,,,,,,,,,,
